PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
909176150,856.0,126000.0,30,RL,0.0,7890.0,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,238.0,Unf,0.0,618.0,856.0,GasA,TA,Y,SBrkr,856.0,0.0,0.0,1,0,1,0,2,1,TA,4,Typ,1,Gd,Detchd,Unf,2,399.0,TA,TA,Y,0.0,0.0,0.0,0.0,166.0,0.0,No Pool,No Fence,No Misc Feature,0.0,3,2010,WD ,Normal
905476230,1049.0,139500.0,120,RL,42.0,4235.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,1Story,5,5,1984,1984,Gable,CompShg,HdBoard,HdBoard,BrkFace,149.0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,552.0,ALQ,393.0,104.0,1049.0,GasA,TA,Y,SBrkr,1049.0,0.0,0.0,1,0,2,0,2,1,Gd,5,Typ,0,No Fireplace,Attchd,Fin,1,266.0,TA,TA,Y,0.0,105.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,2,2009,WD ,Normal
911128020,1001.0,124900.0,30,C (all),60.0,6060.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,5,9,1930,2007,Hip,CompShg,MetalSd,MetalSd,None,0.0,Gd,TA,BrkTil,TA,TA,No,ALQ,737.0,Unf,0.0,100.0,837.0,GasA,Ex,Y,SBrkr,1001.0,0.0,0.0,0,0,1,0,2,1,Gd,5,Typ,0,No Fireplace,Detchd,Unf,1,216.0,TA,Po,N,154.0,0.0,42.0,86.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,11,2007,WD ,Normal
535377150,1039.0,114000.0,70,RL,80.0,8146.0,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0.0,Gd,Gd,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,405.0,405.0,GasA,Gd,Y,SBrkr,717.0,322.0,0.0,0,0,1,0,2,1,TA,6,Typ,0,No Fireplace,Detchd,Unf,1,281.0,TA,TA,N,0.0,0.0,168.0,0.0,111.0,0.0,No Pool,No Fence,No Misc Feature,0.0,5,2009,WD ,Normal
534177230,1665.0,227000.0,60,RL,70.0,8400.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,643.0,Unf,0.0,167.0,810.0,GasA,Ex,Y,SBrkr,810.0,855.0,0.0,1,0,2,1,3,1,Gd,6,Typ,0,No Fireplace,Attchd,Fin,2,528.0,TA,TA,Y,0.0,45.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,11,2009,WD ,Normal
908128060,1922.0,198500.0,85,RL,64.0,7301.0,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,SFoyer,7,5,2003,2003,Gable,CompShg,HdBoard,HdBoard,BrkFace,500.0,Gd,TA,Slab,No Basement,No Basement,No Basement,No Basement,0.0,No Basement,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,495.0,1427.0,0.0,0,0,3,0,4,1,Gd,7,Typ,1,Ex,BuiltIn,RFn,2,672.0,TA,TA,Y,0.0,0.0,177.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,7,2009,ConLD,Normal
902135020,936.0,93000.0,20,RM,60.0,6000.0,Pave,Pave,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,2fmCon,1Story,4,4,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0.0,Fa,TA,CBlock,Fa,TA,No,Unf,0.0,Unf,0.0,936.0,936.0,GasA,TA,N,SBrkr,936.0,0.0,0.0,0,0,1,0,2,1,TA,4,Min2,0,No Fireplace,Detchd,Unf,2,576.0,TA,TA,Y,0.0,32.0,112.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,2,2009,WD ,Normal
528228540,1246.0,187687.0,20,RL,53.0,3710.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,1Fam,1Story,7,5,2007,2008,Gable,CompShg,WdShing,Wd Shng,BrkFace,20.0,Gd,TA,PConc,Gd,TA,Gd,Unf,0.0,Unf,0.0,1146.0,1146.0,GasA,Ex,Y,SBrkr,1246.0,0.0,0.0,0,0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,Fin,2,428.0,TA,TA,Y,100.0,24.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,3,2008,New,Partial
923426010,889.0,137500.0,20,RL,74.0,12395.0,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,6,1984,1984,Gable,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,647.0,Unf,0.0,217.0,864.0,GasA,TA,Y,SBrkr,889.0,0.0,0.0,0,0,1,0,3,1,TA,6,Typ,0,No Fireplace,Attchd,Unf,2,484.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,4,2008,WD ,Normal
908186050,1072.0,140000.0,180,RM,35.0,3675.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,TA,TA,PConc,Gd,TA,Gd,GLQ,467.0,Unf,0.0,80.0,547.0,GasA,Ex,Y,SBrkr,1072.0,0.0,0.0,1,0,1,0,2,1,Gd,5,Typ,0,No Fireplace,Basment,Fin,2,525.0,TA,TA,Y,0.0,44.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,5,2007,WD ,Normal
528186170,1342.0,219500.0,120,RL,48.0,6240.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,MetalSd,MetalSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,24.0,Unf,0.0,1318.0,1342.0,GasA,Ex,Y,SBrkr,1342.0,0.0,0.0,0,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,550.0,TA,TA,Y,0.0,35.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,2,2008,WD ,Normal
923426070,1274.0,136000.0,60,RL,63.0,10475.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,2Story,5,5,1991,1991,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Rec,458.0,Unf,0.0,166.0,624.0,GasA,Gd,Y,SBrkr,624.0,650.0,0.0,0,0,1,1,3,1,TA,6,Typ,0,No Fireplace,Detchd,Unf,2,576.0,TA,TA,Y,22.0,0.0,0.0,0.0,0.0,0.0,No Pool,GdWo,No Misc Feature,0.0,3,2010,WD ,Normal
902204080,861.0,80000.0,30,RM,62.0,7404.0,Pave,No Alley,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,6,1920,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,861.0,861.0,GasA,TA,Y,SBrkr,861.0,0.0,0.0,0,0,1,0,2,1,TA,5,Typ,0,No Fireplace,Detchd,Unf,2,288.0,TA,TA,N,0.0,0.0,128.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,11,2009,Oth,Normal
535105100,1394.0,159000.0,20,RL,0.0,9500.0,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,TA,TA,CBlock,Gd,TA,No,BLQ,609.0,Unf,0.0,785.0,1394.0,GasA,Gd,Y,SBrkr,1394.0,0.0,0.0,1,0,1,1,3,1,TA,6,Typ,2,Gd,Attchd,RFn,2,514.0,TA,TA,Y,0.0,76.0,0.0,0.0,185.0,0.0,No Pool,No Fence,No Misc Feature,0.0,7,2009,WD ,Normal
907405020,1536.0,214000.0,20,RL,70.0,9135.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,Gd,TA,PConc,Gd,TA,Av,GLQ,810.0,Unf,0.0,726.0,1536.0,GasA,Ex,Y,SBrkr,1536.0,0.0,0.0,1,0,2,0,3,1,Gd,7,Typ,0,No Fireplace,Attchd,RFn,2,532.0,TA,TA,Y,192.0,74.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,12,2008,WD ,Normal
531382110,1680.0,163000.0,60,RL,50.0,8480.0,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,Gd,TA,PConc,Gd,TA,No,GLQ,602.0,Unf,0.0,284.0,886.0,GasA,Ex,Y,SBrkr,886.0,794.0,0.0,0,1,2,1,3,1,Gd,7,Typ,0,No Fireplace,Attchd,RFn,2,474.0,TA,TA,Y,144.0,96.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,10,2008,WD ,Normal
906380120,1274.0,203000.0,20,RL,68.0,8814.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,Gd,TA,PConc,Gd,TA,No,GLQ,925.0,Unf,0.0,349.0,1274.0,GasA,Ex,Y,SBrkr,1274.0,0.0,0.0,1,0,2,0,3,1,Gd,6,Typ,0,No Fireplace,Attchd,RFn,2,508.0,TA,TA,Y,264.0,98.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,1,2007,New,Partial
909101060,864.0,67000.0,30,RL,45.0,8248.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,41.0,Unf,0.0,823.0,864.0,GasA,TA,N,FuseF,864.0,0.0,0.0,1,0,1,0,2,1,TA,5,Typ,0,No Fireplace,No Garage,No Garage,0,0.0,No Garage,No Garage,N,0.0,0.0,100.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,9,2008,WD ,Normal
534152050,1610.0,205000.0,20,RL,0.0,10603.0,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28.0,TA,TA,PConc,TA,TA,Mn,ALQ,1200.0,Unf,0.0,410.0,1610.0,GasA,Gd,Y,SBrkr,1610.0,0.0,0.0,1,0,2,0,3,1,Gd,6,Typ,2,TA,Attchd,RFn,2,480.0,TA,TA,Y,168.0,68.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,2,2010,WD ,Normal
923252075,1091.0,131250.0,80,RL,62.0,7706.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Rec,114.0,GLQ,270.0,0.0,384.0,GasA,Ex,Y,SBrkr,1091.0,0.0,0.0,0,1,1,0,2,1,TA,5,Typ,0,No Fireplace,Attchd,Fin,1,429.0,TA,TA,Y,280.0,0.0,0.0,0.0,0.0,0.0,No Pool,No Fence,Shed,700.0,8,2009,WD ,Normal
531376060,1486.0,181000.0,20,RL,65.0,7441.0,Pave,No Alley,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1461.0,1461.0,GasA,Ex,Y,SBrkr,1486.0,0.0,0.0,0,0,2,0,3,1,Gd,7,Typ,0,No Fireplace,Attchd,RFn,2,566.0,TA,TA,Y,0.0,32.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,6,2007,WD ,Normal
902201120,789.0,115000.0,20,RM,50.0,6000.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,104.0,BLQ,169.0,516.0,789.0,GasA,Ex,Y,SBrkr,789.0,0.0,0.0,0,0,1,0,2,1,TA,5,Typ,0,No Fireplace,Detchd,Unf,1,250.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,4,2008,WD ,Partial
923228080,1092.0,98000.0,160,RM,21.0,1477.0,Pave,No Alley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,6,9,1970,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,358.0,Unf,0.0,188.0,546.0,GasA,Ex,Y,SBrkr,546.0,546.0,0.0,0,0,2,1,3,1,TA,6,Typ,0,No Fireplace,No Garage,No Garage,0,0.0,No Garage,No Garage,Y,187.0,0.0,0.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,3,2008,WD ,Normal
902326030,2640.0,265979.0,70,RM,65.0,11700.0,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0.0,Gd,TA,Stone,TA,Fa,No,Unf,0.0,Unf,0.0,1240.0,1240.0,GasW,TA,N,SBrkr,1320.0,1320.0,0.0,0,0,1,1,4,1,Gd,8,Typ,1,Gd,Detchd,Unf,4,864.0,TA,TA,N,181.0,0.0,386.0,0.0,0.0,0.0,No Pool,No Fence,No Misc Feature,0.0,5,2009,WD ,Normal
