iter	RMSE
0	69041.61701
1	64588.99587
2	60496.31725
3	56650.2608
4	53290.28587
5	50124.90592
6	47368.91343
7	44655.43238
8	42272.66172
9	40071.81653
10	38289.7742
11	36719.86001
12	35205.6742
13	33647.09095
14	32320.38397
15	31013.43524
16	29975.32894
17	28916.90024
18	27997.3966
19	27142.3311
20	26275.24381
21	25417.7887
22	24597.78877
23	23979.23664
24	23346.14247
25	22835.05426
26	22345.26595
27	21897.34376
28	21437.25265
29	21007.96649
30	20579.82279
31	20145.20729
32	19819.9798
33	19445.91605
34	19138.87343
35	18868.61928
36	18607.01229
37	18397.79326
38	18163.45143
39	17931.31574
40	17653.55749
41	17436.88002
42	17233.40716
43	17017.9632
44	16785.30486
45	16562.17538
46	16378.43811
47	16210.67322
48	16030.43013
49	15863.80787
50	15661.58369
51	15561.29754
52	15419.35016
53	15299.95092
54	15134.79709
55	15040.78275
56	14912.0328
57	14757.42098
58	14655.48809
59	14510.82224
60	14390.79608
61	14270.38786
62	14181.14555
63	14106.05581
64	13989.65948
65	13871.09601
66	13784.19726
67	13711.03054
68	13613.75106
69	13501.2689
70	13400.82375
71	13311.13618
72	13200.88519
73	13087.75873
74	13009.11895
75	12888.30802
76	12769.62861
77	12665.93478
78	12572.68817
79	12473.88169
80	12374.09211
81	12296.55035
82	12219.76825
83	12184.88169
84	12122.87586
85	12018.38386
86	11974.52274
87	11950.72375
88	11938.83007
89	11861.7391
90	11792.7373
91	11710.50401
92	11675.39977
93	11585.9503
94	11499.74377
95	11426.39002
96	11366.00618
97	11285.80563
98	11206.95867
99	11143.01618
100	11099.66349
101	11075.401
102	11027.82687
103	10967.32161
104	10883.66006
105	10829.88448
106	10717.46659
107	10676.52171
108	10582.24801
109	10551.11823
110	10473.78852
111	10389.48386
112	10300.62789
113	10228.12146
114	10153.20649
115	10089.58352
116	10010.3037
117	9924.539786
118	9856.021586
119	9785.988515
120	9709.052303
121	9691.363635
122	9644.831734
123	9628.683608
124	9518.690401
125	9455.854743
126	9379.970658
127	9297.456206
128	9283.650752
129	9178.821072
130	9106.451778
131	9038.596956
132	8970.478382
133	8911.760156
134	8900.473241
135	8791.886309
136	8724.124463
137	8664.033569
138	8616.312132
139	8570.962885
140	8488.735201
141	8424.318949
142	8372.967995
143	8362.86353
144	8299.844848
145	8244.717497
146	8184.867618
147	8125.093804
148	8108.693544
149	8100.082951
150	8055.831357
151	8012.048912
152	8005.666807
153	7953.211685
154	7925.528173
155	7915.494352
156	7832.991132
157	7761.795551
158	7709.623903
159	7705.620872
160	7643.921904
161	7569.647374
162	7505.572702
163	7466.525796
164	7418.035275
165	7362.80494
166	7359.195822
167	7289.453922
168	7244.591639
169	7195.340488
170	7176.001223
171	7133.87332
172	7082.535189
173	7021.339757
174	6971.783068
175	6930.547135
176	6882.859466
177	6879.965491
178	6839.842526
179	6805.856325
180	6801.022578
181	6788.219285
182	6768.250894
183	6729.075193
184	6671.130462
185	6623.472813
186	6619.531869
187	6548.748198
188	6500.15525
189	6450.39281
190	6403.734882
191	6352.666774
192	6308.575868
193	6304.481899
194	6262.220611
195	6259.71917
196	6210.324936
197	6145.338782
198	6098.780009
199	6056.96741
200	6023.164658
201	5964.248163
202	5911.471247
203	5857.329883
204	5833.554657
205	5789.671753
206	5787.990562
207	5746.151904
208	5743.75612
209	5712.311285
210	5686.922627
211	5660.453049
212	5622.473512
213	5599.070473
214	5575.491165
215	5548.122561
216	5519.240158
217	5501.363246
218	5466.666871
219	5436.132895
220	5416.596059
221	5383.607922
222	5335.810369
223	5322.740922
224	5281.698053
225	5247.00249
226	5210.603947
227	5187.044151
228	5153.32389
229	5124.582145
230	5122.910604
231	5092.544437
232	5057.098389
233	5036.380152
234	5011.082578
235	4980.14928
236	4956.245733
237	4925.190889
238	4890.651131
239	4863.818752
240	4837.541542
241	4814.092794
242	4774.647949
243	4758.502847
244	4747.816878
245	4732.254949
246	4707.940306
247	4686.596366
248	4659.622648
