iter	Passed	Remaining
0	12	6402
1	25	6309
2	38	6345
3	52	6476
4	66	6608
5	81	6679
6	93	6619
7	106	6519
8	119	6499
9	131	6437
10	144	6425
11	157	6396
12	169	6351
13	182	6338
14	194	6301
15	206	6261
16	219	6240
17	233	6239
18	246	6229
19	258	6206
20	271	6184
21	275	5980
22	288	5974
23	301	5978
24	315	5988
25	328	5992
26	341	5979
27	354	5974
28	367	5964
29	380	5957
30	392	5936
31	405	5930
32	418	5920
33	430	5903
34	443	5897
35	457	5895
36	470	5885
37	483	5880
38	496	5867
39	508	5852
40	522	5848
41	534	5829
42	547	5819
43	559	5796
44	572	5785
45	585	5775
46	598	5764
47	611	5756
48	623	5741
49	636	5730
50	651	5737
51	664	5720
52	676	5708
53	689	5698
54	702	5685
55	715	5675
56	728	5660
57	740	5642
58	753	5631
59	766	5618
60	778	5603
61	790	5586
62	803	5576
63	808	5505
64	820	5488
65	832	5472
66	845	5461
67	857	5449
68	869	5432
69	882	5418
70	893	5399
71	906	5385
72	918	5374
73	931	5363
74	944	5353
75	957	5343
76	970	5330
77	982	5314
78	995	5303
79	1007	5291
80	1020	5278
81	1033	5265
82	1046	5257
83	1059	5246
84	1073	5239
85	1086	5229
86	1099	5218
87	1111	5203
88	1124	5190
89	1136	5177
90	1149	5166
91	1162	5156
92	1175	5146
93	1188	5133
94	1201	5121
95	1213	5108
96	1226	5096
97	1239	5083
98	1252	5073
99	1265	5061
100	1278	5051
101	1291	5039
102	1304	5029
103	1318	5018
104	1330	5004
105	1343	4992
106	1355	4980
107	1368	4967
108	1381	4955
109	1396	4951
110	1409	4939
111	1421	4924
112	1434	4913
113	1448	4903
114	1461	4892
115	1474	4881
116	1487	4867
117	1498	4852
118	1511	4838
119	1523	4824
120	1536	4813
121	1549	4801
122	1561	4786
123	1574	4774
124	1586	4759
125	1599	4747
126	1612	4736
127	1625	4722
128	1638	4711
129	1650	4696
130	1662	4683
131	1675	4670
132	1688	4658
133	1700	4645
134	1713	4632
135	1725	4618
136	1738	4606
137	1751	4593
138	1763	4580
139	1776	4567
140	1788	4554
141	1801	4541
142	1814	4529
143	1827	4518
144	1840	4505
145	1852	4492
146	1865	4479
147	1878	4467
148	1890	4452
149	1903	4440
150	1915	4427
151	1933	4425
152	1945	4413
153	1959	4401
154	1972	4389
155	1984	4375
156	1996	4360
157	2009	4349
158	2024	4342
159	2037	4329
160	2050	4317
161	2064	4306
162	2076	4293
163	2087	4277
164	2100	4265
165	2114	4253
166	2126	4240
167	2141	4232
168	2153	4218
169	2166	4206
170	2179	4193
171	2192	4181
172	2205	4168
173	2218	4156
174	2231	4143
175	2243	4130
176	2255	4116
177	2268	4103
178	2281	4090
179	2293	4077
180	2306	4064
181	2319	4052
182	2331	4038
183	2344	4026
184	2356	4012
185	2369	3999
186	2382	3987
187	2395	3974
188	2406	3960
189	2418	3946
190	2431	3932
191	2444	3920
192	2456	3907
193	2469	3894
194	2481	3881
195	2494	3869
196	2507	3856
197	2519	3843
198	2532	3829
199	2545	3817
200	2558	3805
201	2569	3790
202	2582	3777
203	2595	3765
204	2607	3752
205	2620	3740
206	2633	3727
207	2646	3715
208	2659	3702
209	2671	3689
210	2684	3677
211	2697	3664
212	2710	3651
213	2723	3639
214	2736	3627
215	2749	3614
216	2762	3602
217	2775	3590
218	2792	3582
219	2804	3569
220	2817	3556
221	2828	3542
222	2841	3529
223	2854	3517
224	2870	3507
225	2882	3495
226	2897	3485
227	2911	3472
228	2923	3460
229	2936	3447
230	2948	3434
231	2961	3421
232	2974	3409
233	2988	3396
234	3000	3383
235	3012	3370
236	3025	3357
237	3038	3344
238	3051	3332
239	3063	3319
240	3076	3306
241	3090	3294
242	3102	3280
243	3114	3267
244	3126	3253
245	3139	3241
246	3150	3227
247	3163	3214
248	3176	3201
249	3225	3225
250	3245	3219
251	3297	3244
252	3311	3233
253	3330	3225
254	3342	3211
255	3356	3199
256	3370	3187
257	3384	3174
258	3397	3161
259	3411	3149
260	3423	3135
261	3436	3122
262	3449	3108
263	3461	3094
264	3474	3081
265	3486	3067
266	3499	3053
267	3512	3040
268	3525	3027
269	3538	3013
270	3551	3000
271	3564	2987
272	3577	2974
273	3590	2961
274	3602	2947
275	3615	2934
276	3627	2920
277	3639	2906
278	3652	2892
279	3664	2879
280	3676	2865
281	3689	2851
282	3702	2838
283	3714	2825
284	3727	2811
285	3739	2798
286	3752	2784
287	3764	2771
288	3777	2758
289	3789	2744
290	3802	2731
291	3815	2718
292	3828	2705
293	3842	2692
294	3854	2678
295	3868	2665
296	3880	2652
297	3893	2639
298	3905	2625
299	3918	2612
300	3932	2599
301	3944	2586
302	3957	2573
303	3971	2560
304	3983	2546
305	3996	2533
306	4009	2520
307	4022	2507
308	4036	2494
309	4048	2481
310	4061	2468
311	4074	2455
312	4086	2441
313	4100	2428
314	4113	2415
315	4125	2402
316	4137	2388
317	4150	2375
318	4162	2361
319	4175	2348
320	4188	2335
321	4201	2322
322	4213	2309
323	4226	2296
324	4239	2282
325	4251	2269
326	4264	2256
327	4277	2242
328	4289	2229
329	4301	2216
330	4314	2203
331	4327	2189
332	4340	2176
333	4353	2163
334	4365	2150
335	4378	2137
336	4390	2123
337	4403	2110
338	4415	2097
339	4428	2084
340	4441	2070
341	4454	2057
342	4466	2044
343	4479	2031
344	4492	2018
345	4504	2004
346	4516	1991
347	4528	1977
348	4541	1964
349	4553	1951
350	4566	1938
351	4578	1925
352	4590	1911
353	4603	1898
354	4616	1885
355	4628	1872
356	4641	1859
357	4653	1845
358	4665	1832
359	4678	1819
360	4692	1806
361	4704	1793
362	4717	1780
363	4729	1767
364	4741	1753
365	4754	1740
366	4767	1727
367	4779	1714
368	4792	1701
369	4805	1688
370	4818	1675
371	4831	1662
372	4843	1649
