pid,gr_liv_area,sale_price,ms_sub_class,ms_zoning,lot_frontage,lot_area,alley,lot_shape,land_contour,lot_config,land_slope,neighborhood,bldg_type,house_style,overall_qual,overall_cond,roof_style,exterior1st,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmt_fin_type1,bsmt_fin_sf1,bsmt_fin_type2,bsmt_fin_sf2,bsmt_unf_sf,total_bsmt_sf,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abv_gr,kitchen_abv_gr,kitchen_qual,tot_rms_abv_grd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3_ssn_porch,screen_porch,pool_area,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,sale_condition,log_sale_price,near_rr,near_main_rd,near_pos,house_age_at_sale,construction_age_at_sale
909176150,856,126000,30,RL,80.0,7890,NA,Reg,Lvl,Corner,Gtl,SWISU,1Fam,1Story,6,6,Gable,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,238.0,Unf,0.0,618.0,856.0,TA,1,SBrkr,856,0,0,1.0,0.0,1,0,2,1,TA,4,Typ,1,Gd,Detchd,1939.0,Unf,2.0,399.0,TA,TA,Y,0,0,0,0,166,0,NA,NA,0,3,2010,WD ,Normal,11.744037185933616,0,0,0,71,60
905476230,1049,139500,120,RL,42.0,4235,NA,Reg,Lvl,Inside,Gtl,Edwards,TwnhsE,1Story,5,5,Gable,HdBoard,BrkFace,149.0,Gd,TA,CBlock,Gd,TA,Mn,GLQ,552.0,ALQ,393.0,104.0,1049.0,TA,1,SBrkr,1049,0,0,1.0,0.0,2,0,2,1,Gd,5,Typ,0,NA,Attchd,1984.0,Fin,1.0,266.0,TA,TA,Y,0,105,0,0,0,0,NA,NA,0,2,2009,WD ,Normal,11.845819880243557,0,0,0,25,25
911128020,1001,124900,30,C (all),60.0,6060,NA,Reg,Lvl,Inside,Gtl,IDOTRR,1Fam,1Story,5,9,Hip,MetalSd,None,0.0,Gd,TA,BrkTil,TA,TA,No,ALQ,737.0,Unf,0.0,100.0,837.0,Ex,1,SBrkr,1001,0,0,0.0,0.0,1,0,2,1,Gd,5,Typ,0,NA,Detchd,1930.0,Unf,1.0,216.0,TA,Po,N,154,0,42,86,0,0,NA,NA,0,11,2007,WD ,Normal,11.73526869611367,0,0,0,77,0
535377150,1039,114000,70,RL,80.0,8146,NA,Reg,Lvl,Corner,Gtl,OldTown,1Fam,2Story,4,8,Gable,MetalSd,None,0.0,Gd,Gd,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,405.0,405.0,Gd,1,SBrkr,717,322,0,0.0,0.0,1,0,2,1,TA,6,Typ,0,NA,Detchd,1940.0,Unf,1.0,281.0,TA,TA,N,0,0,168,0,111,0,NA,NA,0,5,2009,WD ,Normal,11.643953727376632,0,0,0,109,6
534177230,1665,227000,60,RL,70.0,8400,NA,Reg,Lvl,Inside,Gtl,NWAmes,1Fam,2Story,8,6,Gable,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,643.0,Unf,0.0,167.0,810.0,Ex,1,SBrkr,810,855,0,1.0,0.0,2,1,3,1,Gd,6,Typ,0,NA,Attchd,2001.0,Fin,2.0,528.0,TA,TA,Y,0,45,0,0,0,0,NA,NA,0,11,2009,WD ,Normal,12.33270529646354,0,0,0,8,8
908128060,1922,198500,85,RL,64.0,7301,NA,Reg,Lvl,Corner,Gtl,Edwards,1Fam,SFoyer,7,5,Gable,HdBoard,BrkFace,500.0,Gd,TA,Slab,NA,NA,NA,NA,0.0,NA,0.0,0.0,0.0,Ex,1,SBrkr,495,1427,0,0.0,0.0,3,0,4,1,Gd,7,Typ,1,Ex,BuiltIn,2003.0,RFn,2.0,672.0,TA,TA,Y,0,0,177,0,0,0,NA,NA,0,7,2009,ConLD,Normal,12.198544379109382,0,0,0,6,6
902135020,936,93000,20,RM,60.0,6000,Pave,Reg,Bnk,Inside,Mod,OldTown,2fmCon,1Story,4,4,Gable,MetalSd,None,0.0,Fa,TA,CBlock,Fa,TA,No,Unf,0.0,Unf,0.0,936.0,936.0,TA,0,SBrkr,936,0,0,0.0,0.0,1,0,2,1,TA,4,Min2,0,NA,Detchd,1974.0,Unf,2.0,576.0,TA,TA,Y,0,32,112,0,0,0,NA,NA,0,2,2009,WD ,Normal,11.440354772135391,0,0,0,56,56
528228540,1246,187687,20,RL,53.0,3710,NA,Reg,Lvl,Inside,Gtl,Blmngtn,1Fam,1Story,7,5,Gable,WdShing,BrkFace,20.0,Gd,TA,PConc,Gd,TA,Gd,Unf,0.0,Unf,0.0,1146.0,1146.0,Ex,1,SBrkr,1246,0,0,0.0,0.0,2,0,2,1,Gd,5,Typ,1,Gd,Attchd,2007.0,Fin,2.0,428.0,TA,TA,Y,100,24,0,0,0,0,NA,NA,0,3,2008,New,Partial,12.142530960719474,0,0,0,1,0
923426010,889,137500,20,RL,74.0,12395,NA,Reg,Lvl,Corner,Gtl,Mitchel,1Fam,1Story,5,6,Gable,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,647.0,Unf,0.0,217.0,864.0,TA,1,SBrkr,889,0,0,0.0,0.0,1,0,3,1,TA,6,Typ,0,NA,Attchd,1984.0,Unf,2.0,484.0,TA,TA,Y,0,0,0,0,0,0,NA,NA,0,4,2008,WD ,Normal,11.831379196088765,0,0,0,24,24
908186050,1072,140000,180,RM,35.0,3675,NA,Reg,Lvl,Inside,Gtl,Edwards,TwnhsE,SFoyer,6,5,Gable,VinylSd,Stone,76.0,TA,TA,PConc,Gd,TA,Gd,GLQ,467.0,Unf,0.0,80.0,547.0,Ex,1,SBrkr,1072,0,0,1.0,0.0,1,0,2,1,Gd,5,Typ,0,NA,Basment,2005.0,Fin,2.0,525.0,TA,TA,Y,0,44,0,0,0,0,NA,NA,0,5,2007,WD ,Normal,11.84939770159144,0,0,0,2,2
528186170,1342,219500,120,RL,48.0,6240,NA,Reg,Lvl,Inside,Gtl,NridgHt,TwnhsE,1Story,8,5,Hip,MetalSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,24.0,Unf,0.0,1318.0,1342.0,Ex,1,SBrkr,1342,0,0,0.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2007.0,RFn,2.0,550.0,TA,TA,Y,0,35,0,0,0,0,NA,NA,0,2,2008,WD ,Normal,12.299107511497365,0,0,0,2,1
923426070,1274,136000,60,RL,63.0,10475,NA,Reg,Lvl,Inside,Gtl,Mitchel,1Fam,2Story,5,5,Gable,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,No,Rec,458.0,Unf,0.0,166.0,624.0,Gd,1,SBrkr,624,650,0,0.0,0.0,1,1,3,1,TA,6,Typ,0,NA,Detchd,1993.0,Unf,2.0,576.0,TA,TA,Y,22,0,0,0,0,0,GdWo,NA,0,3,2010,WD ,Normal,11.820410164718188,0,0,0,19,19
902204080,861,80000,30,RM,62.0,7404,NA,Reg,Lvl,Corner,Gtl,OldTown,1Fam,1Story,4,6,Gable,MetalSd,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,861.0,861.0,TA,1,SBrkr,861,0,0,0.0,0.0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1920.0,Unf,2.0,288.0,TA,TA,N,0,0,128,0,0,0,NA,NA,0,11,2009,Oth,Normal,11.289781913656018,0,0,0,89,59
535105100,1394,159000,20,RL,65.0,9500,NA,IR1,Lvl,Inside,Gtl,NAmes,1Fam,1Story,6,5,Gable,Plywood,BrkFace,247.0,TA,TA,CBlock,Gd,TA,No,BLQ,609.0,Unf,0.0,785.0,1394.0,Gd,1,SBrkr,1394,0,0,1.0,0.0,1,1,3,1,TA,6,Typ,2,Gd,Attchd,1963.0,RFn,2.0,514.0,TA,TA,Y,0,76,0,0,185,0,NA,NA,0,7,2009,WD ,Normal,11.976659481202368,0,0,0,46,46
907405020,1536,214000,20,RL,70.0,9135,NA,Reg,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,7,5,Gable,VinylSd,BrkFace,113.0,Gd,TA,PConc,Gd,TA,Av,GLQ,810.0,Unf,0.0,726.0,1536.0,Ex,1,SBrkr,1536,0,0,1.0,0.0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2002.0,RFn,2.0,532.0,TA,TA,Y,192,74,0,0,0,0,NA,NA,0,12,2008,WD ,Normal,12.273731294003989,0,0,0,6,5
531382110,1680,163000,60,RL,50.0,8480,NA,IR1,Lvl,Inside,Gtl,SawyerW,1Fam,2Story,6,5,Gable,HdBoard,BrkFace,120.0,Gd,TA,PConc,Gd,TA,No,GLQ,602.0,Unf,0.0,284.0,886.0,Ex,1,SBrkr,886,794,0,0.0,1.0,2,1,3,1,Gd,7,Typ,0,NA,Attchd,1993.0,RFn,2.0,474.0,TA,TA,Y,144,96,0,0,0,0,NA,NA,0,10,2008,WD ,Normal,12.0015054797889,0,0,0,15,14
906380120,1274,203000,20,RL,68.0,8814,NA,Reg,Lvl,Inside,Gtl,CollgCr,1Fam,1Story,7,5,Gable,VinylSd,BrkFace,80.0,Gd,TA,PConc,Gd,TA,No,GLQ,925.0,Unf,0.0,349.0,1274.0,Ex,1,SBrkr,1274,0,0,1.0,0.0,2,0,3,1,Gd,6,Typ,0,NA,Attchd,2005.0,RFn,2.0,508.0,TA,TA,Y,264,98,0,0,0,0,NA,NA,0,1,2007,New,Partial,12.220961258023925,0,0,0,2,0
909101060,864,67000,30,RL,45.0,8248,Grvl,Reg,Lvl,Inside,Gtl,Edwards,1Fam,1Story,3,3,Gable,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,BLQ,41.0,Unf,0.0,823.0,864.0,TA,0,FuseF,864,0,0,1.0,0.0,1,0,2,1,TA,5,Typ,0,NA,NA,,NA,0.0,0.0,NA,NA,N,0,0,100,0,0,0,NA,NA,0,9,2008,WD ,Normal,11.112447898373103,0,0,0,94,58
534152050,1610,205000,20,RL,65.0,10603,NA,IR1,Lvl,Inside,Gtl,NWAmes,1Fam,1Story,6,7,Gable,Plywood,BrkFace,28.0,TA,TA,PConc,TA,TA,Mn,ALQ,1200.0,Unf,0.0,410.0,1610.0,Gd,1,SBrkr,1610,0,0,1.0,0.0,2,0,3,1,Gd,6,Typ,2,TA,Attchd,1977.0,RFn,2.0,480.0,TA,TA,Y,168,68,0,0,0,0,NA,NA,0,2,2010,WD ,Normal,12.230765258120543,0,0,0,33,9
923252075,1091,131250,80,RL,62.0,7706,NA,Reg,Lvl,Inside,Gtl,Mitchel,1Fam,SLvl,6,5,Gable,HdBoard,None,0.0,TA,Gd,CBlock,Gd,TA,Av,Rec,114.0,GLQ,270.0,0.0,384.0,Ex,1,SBrkr,1091,0,0,0.0,1.0,1,0,2,1,TA,5,Typ,0,NA,Attchd,1993.0,Fin,1.0,429.0,TA,TA,Y,280,0,0,0,0,0,NA,Shed,700,8,2009,WD ,Normal,11.78485918045387,0,0,0,16,13
531376060,1486,181000,20,RL,65.0,7441,NA,IR1,Lvl,Inside,Gtl,SawyerW,1Fam,1Story,7,5,Gable,VinylSd,BrkFace,170.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1461.0,1461.0,Ex,1,SBrkr,1486,0,0,0.0,0.0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,2006.0,RFn,2.0,566.0,TA,TA,Y,0,32,0,0,0,0,NA,NA,0,6,2007,WD ,Normal,12.106252310247962,0,0,0,1,1
